Request ,BusinessUnit,
"""FCE2U AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""335361"", ""refNum_s"": ""620467""",TRUE,
"""7130 AND shipLocation_s:11411 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""337835"", ""refNum_s"": ""620424""",TRUE,
"""CMH-1U-19-LB1 AND shipLocation_s:11411 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""337835"", ""refNum_s"": ""620424""",TRUE,
"""MX- AND shipLocation_s:12304 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""308638"", ""refNum_s"": ""620419""",TRUE,
"""9a-1104-12* AND salesLocation_s:60682 AND shipLocation_s:15408 AND customerAccount_s:AC0005-9619 AND dcLocation_s:7305 AND businessUnit_s:WESCO"", ""userName_s"": ""Roberto Gonzalez"", ""refNum_s"": """"",FALSE,
"""3109 AND shipLocation_s:16041 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""212564"", ""refNum_s"": ""620330""",TRUE,
"""10642-001 AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""322620"", ""refNum_s"": ""612954""",TRUE,
"""fosp45 AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""335361"", ""refNum_s"": ""620467""",TRUE,
"""2116245 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""307070"", ""refNum_s"": ""620432""",TRUE,
"""RV6MJKUBL-S1 AND shipLocation_s:16041 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""212564"", ""refNum_s"": ""620330""",TRUE,
"""41091-1 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""339347"", ""refNum_s"": ""619307""",TRUE,
"""440942* AND salesLocation_s:69609 AND shipLocation_s:12702 AND customerAccount_s:AC0161-2574 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Ryan Punsalan"", ""refNum_s"": """"",TRUE,
"""4108W-1SP AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""236339"", ""refNum_s"": ""620358""",TRUE,
"""w1m-backplate AND shipLocation_s:16041 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""331970"", ""refNum_s"": ""620350""",TRUE,
"""cat32 AND shipLocation_s:11102 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""212519"", ""refNum_s"": ""620312""",TRUE,
"""rdc61007-05* AND salesLocation_s:62400 AND shipLocation_s:14112 AND customerAccount_s:AC0159-1988 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Ewan Pessoa"", ""refNum_s"": """"",TRUE,
"""1010223AT* AND businessUnit_s:Accu-Tech AND shipLocation_s:13429 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""DTK-MRJPOE AND shipLocation_s:12908 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""233430"", ""refNum_s"": ""620299""",TRUE,
"""wch- AND shipLocation_s:12304 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""327282"", ""refNum_s"": ""620275""",TRUE,
