Date,Host,Service,Content
"2026-04-22T13:07:24.606Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""CAT12* AND salesLocation_s:62533 AND shipLocation_s:11102 AND customerAccount_s:AC0161-6804 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Steven King"", ""refNum_s"": """"}"
"2026-04-22T12:54:49.495Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""rx78v3- AND shipLocation_s:14509 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""316066"", ""refNum_s"": ""628707""}"
"2026-04-22T12:49:23.758Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""T70T70EEEI AND shipLocation_s:14802 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""208873"", ""refNum_s"": ""628702""}"
"2026-04-22T12:45:39.310Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""41087-QWP AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""327898"", ""refNum_s"": ""628690""}"
"2026-04-22T12:37:32.168Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""31086 AND shipLocation_s:14205 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""317857"", ""refNum_s"": ""575239""}"
"2026-04-22T12:30:08.605Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""*:* AND transPartOrFilter:(transactablePart_s:YW8982A23) AND salesLocation_s:60001 AND shipLocation_s:12619 AND dcLocation_s:7302 AND customerAccount_s:AC0029-8945 AND businessUnit_s:WESCO"", ""userName_s"": ""Alisa Gelinas"", ""refNum_s"": ""QU100033164""}"
"2026-04-22T12:17:14.172Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""760238121* AND salesLocation_s:62471 AND shipLocation_s:14509 AND customerAccount_s:AC0186-3068 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Patrick Allen"", ""refNum_s"": """"}"
"2026-04-22T12:16:18.697Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""ADRF-MPLX-U-3 AND shipLocation_s:15819 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""334099"", ""refNum_s"": ""628657""}"
"2026-04-22T12:13:23.377Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""2413 010 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""321469"", ""refNum_s"": """"}"
"2026-04-22T03:50:18.944Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""T00037276* AND salesLocation_s:62474 AND shipLocation_s:13417 AND customerAccount_s:AC0158-6311 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Kelly Szymanski"", ""refNum_s"": """"}"
"2026-04-22T03:25:10.929Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""787802gd120 AND shipLocation_s:14112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""211741"", ""refNum_s"": ""628620""}"
"2026-04-22T03:21:57.187Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""5k-0 AND shipLocation_s:13603 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""227835"", ""refNum_s"": ""626793""}"
